epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2661.54,1.86702,2.3128,0.01276,0.55732,0.17703,0.17914,0.09515,1.98132,1.915,0.00651,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,2744.37,1.84702,2.2741,0.01261,0.65982,0.18729,0.19274,0.10227,1.98747,1.8888,0.00644,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,2825.97,1.8585,2.29315,0.01266,0.63921,0.1869,0.19316,0.10184,1.98709,1.91202,0.00648,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,2904.5,1.85752,2.28265,0.01264,0.65141,0.186,0.19811,0.10769,1.98862,1.91201,0.00645,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,2987.93,1.86346,2.27545,0.01292,0.65882,0.19314,0.19574,0.10544,1.99332,1.91458,0.00641,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,3069.63,1.85224,2.2534,0.01246,0.68704,0.19474,0.20452,0.10976,1.9715,1.87229,0.00633,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,3150.86,1.83121,2.22357,0.01231,0.68039,0.18254,0.20062,0.10846,1.95348,1.8543,0.00626,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,3232.7,1.81619,2.21498,0.01211,0.69976,0.19685,0.21149,0.11364,1.97006,1.86142,0.00633,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,3312.56,1.84637,2.22569,0.01212,0.68072,0.19545,0.21234,0.11624,1.95458,1.83522,0.00625,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,3393.59,1.83442,2.20378,0.01228,0.58404,0.19462,0.20866,0.11253,1.96052,1.82973,0.00623,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,3475.71,1.84341,2.19257,0.01227,0.67854,0.20456,0.21674,0.11797,1.94689,1.81891,0.00617,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
